Name,Rating,Visitors,Historical,Natural,Amusement,Beach,State,Country,Description,City,Opening Hours
Hemis Monastery,4.6,300000,5,3,2,0,Jammu and Kashmir,India,A famous Buddhist monastery located in Leh.,Leh,"8:00 AM - 1:00 PM, 2:00 PM - 6:00 PM"
Shankaracharya Temple,4.5,400000,5,3,2,0,Jammu and Kashmir,India,A Hindu temple located on the Zabarwan Range in Srinagar.,Srinagar,6:00 AM - 8:00 PM
Nubra Valley,4.7,500000,2,5,3,0,Jammu and Kashmir,India,A high-altitude cold desert with stunning landscapes.,Leh,24 hours
Betaab Valley,4.6,600000,2,5,3,0,Jammu and Kashmir,India,A beautiful valley known for its picturesque landscapes.,Pahalgam,24 hours
Amarnath Cave,4.8,1000000,5,3,2,0,Jammu and Kashmir,India,A famous Hindu shrine located in the Himalayas.,Pahalgam,4:00 AM - 11:00 PM
Pangong Lake,4.7,1200000,2,5,2,0,Jammu and Kashmir,India,A beautiful high-altitude lake located in the Himalayas.,Leh,24 hours
Shalimar Bagh,4.6,800000,4,4,3,0,Jammu and Kashmir,India,A Mughal garden located in Srinagar.,Srinagar,9:30 AM - 6:30 PM
Nishat Bagh,4.5,700000,4,4,3,0,Jammu and Kashmir,India,A Mughal garden located in Srinagar.,Srinagar,9:30 AM - 6:30 PM
Dachigam National Park,4.6,500000,2,5,2,0,Jammu and Kashmir,India,"A national park located in Srinagar, known for its rich biodiversity.",Srinagar,8:00 AM - 6:30 PM
Indira Gandhi Memorial Tulip Garden,4.7,600000,4,5,3,0,Jammu and Kashmir,India,"A tulip garden located in Srinagar, open during the spring season.",Srinagar,9:00 AM - 7:00 PM
Mughal Road,4.6,400000,4,4,3,0,Jammu and Kashmir,India,A historic road connecting Poonch and Shopian.,Poonch,24 hours
Bhaderwah,4.5,300000,2,5,2,0,Jammu and Kashmir,India,A town known for its scenic beauty and adventure activities.,Doda,24 hours
Yusmarg,4.4,200000,2,5,3,0,Jammu and Kashmir,India,A beautiful meadow located in Budgam district.,Budgam,24 hours
Sinthan Top,4.3,100000,2,5,3,0,Jammu and Kashmir,India,A mountain pass located in the Anantnag district.,Anantnag,24 hours
Aharbal Waterfall,4.5,300000,2,5,2,0,Jammu and Kashmir,India,A beautiful waterfall located in the Anantnag district.,Anantnag,24 hours
Patnitop,4.6,700000,2,5,3,0,Jammu and Kashmir,India,A popular hill station located in the Udhampur district.,Udhampur,24 hours
Manasbal Lake,4.5,400000,2,5,3,0,Jammu and Kashmir,India,A beautiful lake located in the Ganderbal district.,Ganderbal,24 hours
Sheeshnag Lake,4.4,200000,2,5,2,0,Jammu and Kashmir,India,A high-altitude lake located on the route to Amarnath.,Anantnag,24 hours
Hari Parbat,4.5,300000,5,3,3,0,Jammu and Kashmir,India,A historic fort located in Srinagar.,Srinagar,8:00 AM - 8:00 PM
Lamayuru Monastery,4.6,500000,5,3,2,0,Jammu and Kashmir,India,A famous Buddhist monastery located in Leh.,Leh,6:00 AM - 6:00 PM
Surinsar Lake,4.7,600000,2,5,3,0,Jammu and Kashmir,India,A beautiful lake located in the Jammu district.,Jammu,24 hours
Tso Moriri Lake,4.5,200000,2,5,2,0,Jammu and Kashmir,India,A high-altitude lake located in the Himalayas.,Leh,24 hours
Dras War Memorial,4.6,100000,5,3,2,0,Jammu and Kashmir,India,A war memorial located in Dras.,Dras,9:00 AM - 8:00 PM
Kheer Bhawani Temple,4.5,300000,5,3,2,0,Jammu and Kashmir,India,A Hindu temple located in Ganderbal district.,Ganderbal,6:00 AM - 8:00 PM
Sanasar Lake,4.4,400000,2,5,3,0,Jammu and Kashmir,India,A beautiful lake located in the Jammu district.,Jammu,24 hours
Golden Temple,4.9,10000000,5,2,3,0,Punjab,India,"A sacred Sikh temple located in Amritsar, known for its stunning architecture.",Amritsar,24 hours
Jallianwala Bagh,4.7,3000000,5,2,2,0,Punjab,India,"A public garden in Amritsar, commemorating the Jallianwala Bagh massacre.",Amritsar,6:00 AM - 7:00 PM
Wagah Border,4.6,2500000,4,2,4,0,Punjab,India,A famous border ceremony site between India and Pakistan.,Amritsar,10:00 AM - 6:00 PM
Rock Garden of Chandigarh,4.5,1200000,3,3,3,0,Punjab,India,"A sculpture garden in Chandigarh, known for its unique rock sculptures.",Chandigarh,9:00 AM - 7:00 PM
Sukhna Lake,4.4,1000000,2,4,4,0,Punjab,India,"A man-made reservoir in Chandigarh, popular for boating.",Chandigarh,5:00 AM - 9:00 PM
Anandpur Sahib,4.6,500000,4,3,2,0,Punjab,India,A historical town known for its Sikh heritage.,Anandpur Sahib,5:00 AM - 10:00 PM
Durgiana Temple,4.5,700000,4,2,2,0,Punjab,India,"A Hindu temple in Amritsar, known for its resemblance to the Golden Temple.",Amritsar,6:00 AM - 10:00 PM
Harike Wetland and Bird Sanctuary,4.4,300000,2,5,2,0,Punjab,India,A wetland and bird sanctuary located in Tarn Taran Sahib.,Tarn Taran Sahib,7:00 AM - 5:00 PM
Maharaja Ranjit Singh Museum,4.5,500000,5,2,2,0,Punjab,India,"A museum in Amritsar, showcasing the history of Maharaja Ranjit Singh.",Amritsar,10:00 AM - 5:00 PM
Partition Museum,4.6,400000,5,2,2,0,Punjab,India,"A museum in Amritsar, dedicated to the partition of India.",Amritsar,10:00 AM - 6:00 PM
Pushpa Gujral Science City,4.5,600000,2,3,4,0,Punjab,India,"A science center in Kapurthala, promoting scientific education.",Kapurthala,9:00 AM - 6:00 PM
Virasat-e-Khalsa,4.6,700000,4,2,3,0,Punjab,India,"A museum in Anandpur Sahib, showcasing the history and culture of Punjab.",Anandpur Sahib,9:00 AM - 6:00 PM
Bathinda Fort,4.5,500000,5,3,2,0,Punjab,India,"A historic fort in Bathinda, known for its architecture.",Bathinda,8:00 AM - 6:00 PM
Sheesh Mahal,4.4,300000,5,2,2,0,Punjab,India,"A palace in Patiala, known for its Sheesh Mahal (Palace of Mirrors).",Patiala,10:00 AM - 6:00 PM
Quila Mubarak,4.3,400000,5,2,2,0,Punjab,India,"A historic fort in Patiala, known for its architectural significance.",Patiala,10:00 AM - 6:00 PM
Rose Garden,4.6,500000,2,4,4,0,Punjab,India,"A garden in Chandigarh, known for its beautiful roses.",Chandigarh,5:30 AM - 10:00 PM
Ranjit Sagar Dam,4.5,600000,3,4,2,0,Punjab,India,"A dam in Pathankot, popular for its scenic beauty.",Pathankot,6:00 AM - 6:00 PM
Ram Tirath,4.4,300000,5,2,2,0,Punjab,India,"A temple in Amritsar, associated with the Ramayana.",Amritsar,5:00 AM - 10:00 PM
Talwandi Sabo,4.5,400000,4,2,2,0,Punjab,India,A historic town known for its Sikh heritage.,Talwandi Sabo,24 hours
Sirhind Fort,4.3,200000,5,3,2,0,Punjab,India,"A fort in Fatehgarh Sahib, known for its historical significance.",Fatehgarh Sahib,9:00 AM - 5:00 PM
Faridkot Fort,4.4,300000,5,3,2,0,Punjab,India,"A fort in Faridkot, known for its historical significance.",Faridkot,8:00 AM - 6:00 PM
Fateh Burj,4.5,400000,4,2,2,0,Punjab,India,"A victory tower in Mohali, commemorating the Sikh victories.",Mohali,9:00 AM - 6:00 PM
Gurudwara Baba Atal Rai,4.3,200000,4,2,2,0,Punjab,India,"A Gurdwara in Amritsar, dedicated to Baba Atal Rai.",Amritsar,5:00 AM - 10:00 PM
"Kali Temple, Patiala",4.4,300000,5,2,2,0,Punjab,India,"A temple in Patiala, dedicated to the goddess Kali.",Patiala,5:00 AM - 10:00 PM
Gurdwara Manji Sahib,4.5,200000,4,2,2,0,Punjab,India,"A Gurdwara in Ludhiana, known for its historical significance.",Ludhiana,5:00 AM - 10:00 PM
Devi Talab Mandir,4.6,300000,5,2,2,0,Punjab,India,"A temple in Jalandhar, dedicated to the goddess Durga.",Jalandhar,5:00 AM - 10:00 PM
Mukteshwar Temple,4.4,100000,4,2,2,0,Punjab,India,"A temple in Pathankot, dedicated to Lord Shiva.",Pathankot,5:00 AM - 10:00 PM
"Shiv Mandir, Gurudwara Nanak Mata",4.3,200000,4,3,2,0,Punjab,India,"A temple in Ludhiana, known for its architectural significance.",Ludhiana,5:00 AM - 10:00 PM
Lodhi Fort,4.4,300000,5,3,2,0,Punjab,India,"A fort in Ludhiana, known for its historical significance.",Ludhiana,8:00 AM - 6:00 PM
Maharaja Ranjit Singh War Museum,4.5,400000,5,2,2,0,Punjab,India,"A war museum in Ludhiana, showcasing the history of the Indian armed forces.",Ludhiana,10:00 AM - 6:00 PM
Taj Mahal,4.9,7000000,5,2,2,0,Uttar Pradesh,India,"A UNESCO World Heritage site and one of the Seven Wonders of the World, located in Agra.",Agra,6:00 AM - 7:00 PM
Agra Fort,4.8,5000000,5,2,2,0,Uttar Pradesh,India,"A historic fort in Agra, known for its Mughal architecture.",Agra,6:00 AM - 6:00 PM
Fatehpur Sikri,4.7,4000000,5,2,2,0,Uttar Pradesh,India,"A historic city founded by Akbar, known for its Mughal architecture.",Fatehpur Sikri,6:00 AM - 6:00 PM
Varanasi Ghats,4.8,6000000,4,4,2,0,Uttar Pradesh,India,A series of ghats located along the Ganges River in Varanasi.,Varanasi,24 hours
Kashi Vishwanath Temple,4.7,5000000,5,2,2,0,Uttar Pradesh,India,"A famous Hindu temple in Varanasi, dedicated to Lord Shiva.",Varanasi,4:00 AM - 11:00 PM
Sarnath,4.6,3000000,5,4,2,0,Uttar Pradesh,India,"A city near Varanasi, known for its association with Buddha.",Sarnath,8:00 AM - 6:00 PM
Allahabad Triveni Sangam,4.7,4000000,4,5,3,0,Uttar Pradesh,India,"A sacred site where the Ganges, Yamuna, and Saraswati rivers meet.",Prayagraj,24 hours
Jhansi Fort,4.6,3000000,5,2,2,0,Uttar Pradesh,India,"A historic fort in Jhansi, associated with Rani Lakshmibai.",Jhansi,7:00 AM - 6:00 PM
Rumi Darwaza,4.8,2000000,5,2,2,0,Uttar Pradesh,India,"A historic gate in Lucknow, known for its Mughal architecture.",Lucknow,6:00 AM - 6:00 PM
Lucknow Residency,4.7,1000000,5,2,2,0,Uttar Pradesh,India,"A historic building in Lucknow, associated with the Indian Rebellion of 1857.",Lucknow,10:00 AM - 5:00 PM
Bara Imambara,4.6,2000000,5,2,2,0,Uttar Pradesh,India,"A historic complex in Lucknow, known for its Mughal architecture.",Lucknow,6:00 AM - 6:00 PM
Akbar's Tomb,4.7,1500000,5,2,2,0,Uttar Pradesh,India,"The tomb of Akbar the Great, located in Agra.",Agra,6:00 AM - 6:00 PM
Chitrakoot,4.8,1400000,5,4,3,0,Uttar Pradesh,India,A town known for its association with the Ramayana.,Chitrakoot,24 hours
Banke Bihari Temple,4.6,1300000,4,2,2,0,Uttar Pradesh,India,"A famous Hindu temple in Vrindavan, dedicated to Lord Krishna.",Vrindavan,7:00 AM - 8:30 PM
"Prem Mandir, Vrindavan",4.7,1200000,5,2,2,0,Uttar Pradesh,India,"A famous temple in Vrindavan, known for its architecture.",Vrindavan,5:30 AM - 9:30 PM
Bharat Mata Mandir,4.8,1100000,4,2,2,0,Uttar Pradesh,India,"A temple in Varanasi, dedicated to Bharat Mata (Mother India).",Varanasi,6:00 AM - 7:00 PM
Dudhwa National Park,4.6,1000000,3,5,2,0,Uttar Pradesh,India,A national park located in the Terai region of Uttar Pradesh.,Lakhimpur Kheri,7:00 AM - 6:00 PM
Mathura,4.7,900000,5,4,2,0,Uttar Pradesh,India,A city known for its association with Lord Krishna.,Mathura,24 hours
Ayodhya,4.8,800000,5,4,2,0,Uttar Pradesh,India,A city known for its association with Lord Rama.,Ayodhya,24 hours
Sankat Mochan Hanuman Temple,4.6,700000,4,2,2,0,Uttar Pradesh,India,"A famous temple in Varanasi, dedicated to Hanuman.",Varanasi,6:00 AM - 10:00 PM
Kanpur Memorial Church,4.7,600000,4,2,2,0,Uttar Pradesh,India,"A historic church in Kanpur, associated with the British colonial period.",Kanpur,8:00 AM - 6:00 PM
Kakori,4.6,500000,4,3,2,0,Uttar Pradesh,India,A town known for its association with the Kakori conspiracy.,Kakori,24 hours
Vindhyachal,4.7,400000,5,4,2,0,Uttar Pradesh,India,A town known for its religious significance and temples.,Vindhyachal,6:00 AM - 7:00 PM
Hastinapur,4.6,300000,5,3,2,0,Uttar Pradesh,India,A historic town known for its association with the Mahabharata.,Hastinapur,24 hours
Naimisaranya,4.8,200000,5,4,2,0,Uttar Pradesh,India,A town known for its association with the Mahabharata.,Naimisaranya,6:00 AM - 7:00 PM
Sarnath Museum,4.7,150000,5,4,2,0,Uttar Pradesh,India,"A museum in Sarnath, showcasing artifacts related to Buddha.",Sarnath,8:00 AM - 5:00 PM
Govardhan Hill,4.8,100000,5,3,2,0,Uttar Pradesh,India,"A hill located near Mathura, associated with Lord Krishna.",Mathura,24 hours
Ramnagar Fort,4.6,90000,5,2,2,0,Uttar Pradesh,India,A historic fort located in Varanasi.,Varanasi,6:00 AM - 6:00 PM
Sikandra,4.7,80000,5,2,2,0,Uttar Pradesh,India,"The tomb of Akbar the Great, located in Agra.",Agra,6:00 AM - 6:00 PM
Itmad-ud-Daula,4.6,70000,5,2,2,0,Uttar Pradesh,India,"A historic tomb in Agra, known for its Mughal architecture.",Agra,6:00 AM - 6:00 PM
Gateway of India,4.8,7000000,5,2,2,0,Maharashtra,India,An iconic monument built during the British Raj in Mumbai.,Mumbai,24 hours
Ajanta Caves,4.7,6000000,5,4,2,0,Maharashtra,India,A UNESCO World Heritage site known for its ancient Buddhist rock-cut caves.,Aurangabad,6:00 AM - 6:00 PM
Ellora Caves,4.8,5000000,5,4,2,0,Maharashtra,India,A UNESCO World Heritage site known for its monumental caves.,Aurangabad,6:00 AM - 6:00 PM
Elephanta Caves,4.7,4000000,5,3,2,0,Maharashtra,India,A UNESCO World Heritage site with rock-cut sculptures and art.,Mumbai,9:00 AM - 5:30 PM
Chhatrapati Shivaji Terminus,4.6,3000000,5,2,2,0,Maharashtra,India,A historic railway station and UNESCO World Heritage site in Mumbai.,Mumbai,24 hours
Marine Drive,4.8,2000000,2,4,3,5,Maharashtra,India,A scenic promenade along the Arabian Sea in Mumbai.,Mumbai,24 hours
Shaniwar Wada,4.7,1000000,5,2,2,0,Maharashtra,India,"A historic fort in Pune, known for its architecture.",Pune,9:30 AM - 5:00 PM
Mahabaleshwar,4.8,900000,2,5,3,0,Maharashtra,India,A popular hill station known for its scenic beauty.,Mahabaleshwar,24 hours
Lonavala,4.7,800000,2,5,3,0,Maharashtra,India,A popular hill station known for its lakes and waterfalls.,Lonavala,24 hours
Siddhivinayak Temple,4.6,700000,4,2,2,0,Maharashtra,India,"A famous Hindu temple in Mumbai, dedicated to Lord Ganesha.",Mumbai,4:30 AM - 9:00 PM
Haji Ali Dargah,4.8,600000,4,3,2,0,Maharashtra,India,A famous mosque and dargah located on an islet off the coast of Mumbai.,Mumbai,5:30 AM - 10:00 PM
Alibaug,4.7,500000,2,5,3,5,Maharashtra,India,A coastal town known for its beaches.,Alibaug,24 hours
Sinhagad Fort,4.8,400000,5,4,2,0,Maharashtra,India,A historic fort located near Pune.,Pune,6:00 AM - 6:00 PM
Bibi Ka Maqbara,4.7,300000,5,3,2,0,Maharashtra,India,"A historic mausoleum in Aurangabad, resembling the Taj Mahal.",Aurangabad,8:00 AM - 8:00 PM
Kanheri Caves,4.8,200000,5,4,2,0,Maharashtra,India,Ancient rock-cut caves located in Mumbai.,Mumbai,7:30 AM - 5:30 PM
Chikhaldara,4.7,100000,2,5,2,0,Maharashtra,India,A hill station known for its wildlife and natural beauty.,Chikhaldara,24 hours
Panchgani,4.8,90000,2,5,2,0,Maharashtra,India,A hill station known for its scenic beauty.,Panchgani,24 hours
Tadoba Andhari Tiger Reserve,4.7,80000,3,5,2,0,Maharashtra,India,A tiger reserve located in Chandrapur district.,Chandrapur,6:00 AM - 9:00 PM
Rajmachi Fort,4.8,70000,5,4,2,0,Maharashtra,India,A historic fort located in the Sahyadri mountains.,Lonavala,24 hours
Bhimashankar Temple,4.7,60000,5,4,2,0,Maharashtra,India,A famous Hindu temple located in Pune district.,Pune,5:00 AM - 9:00 PM
Pratapgad Fort,4.8,50000,5,4,2,0,Maharashtra,India,A historic fort located in Satara district.,Satara,10:00 AM - 5:30 PM
Aga Khan Palace,4.7,40000,5,3,2,0,Maharashtra,India,A historic palace located in Pune.,Pune,9:00 AM - 5:30 PM
Elephanta Island,4.8,30000,5,3,2,5,Maharashtra,India,An island known for its ancient rock-cut temples.,Mumbai,9:00 AM - 5:30 PM
Lavasa,4.7,20000,2,5,3,0,Maharashtra,India,A planned city known for its lakes and hills.,Lavasa,24 hours
Nashik Vineyards,4.8,10000,2,5,2,0,Maharashtra,India,A region known for its vineyards and wine production.,Nashik,9:30 AM - 6:00 PM
Aurangabad Caves,4.7,9000,5,4,2,0,Maharashtra,India,Ancient rock-cut caves located in Aurangabad.,Aurangabad,6:00 AM - 6:00 PM
Karnala Bird Sanctuary,4.8,8000,3,5,2,0,Maharashtra,India,A bird sanctuary located in Raigad district.,Raigad,7:00 AM - 5:00 PM
Hanging Gardens,4.7,7000,2,4,2,0,Maharashtra,India,A terraced garden located in Mumbai.,Mumbai,5:00 AM - 9:00 PM
Worli Sea Face,4.8,6000,2,4,2,5,Maharashtra,India,A popular promenade along the coast of Mumbai.,Mumbai,24 hours
EsselWorld,4.7,5000,3,2,5,0,Maharashtra,India,A popular amusement park located in Mumbai.,Mumbai,10:00 AM - 8:00 PM
Statue of Unity,4.9,2500000,3,2,3,0,Gujarat,India,A colossal statue of Sardar Vallabhbhai Patel located in Kevadia.,Kevadia,8:00 AM - 6:00 PM
Gir National Park,4.8,2000000,2,5,2,0,Gujarat,India,A wildlife sanctuary known for its Asiatic lions.,Gir,6:00 AM - 6:00 PM
Rann of Kutch,4.7,1800000,2,5,2,0,Gujarat,India,A salt marsh located in the Thar Desert.,Kutch,24 hours
Somnath Temple,4.8,2200000,5,2,2,0,Gujarat,India,A famous Hindu temple located in Prabhas Patan.,Somnath,5:00 AM - 10:00 PM
Dwarkadhish Temple,4.7,2100000,5,2,2,0,Gujarat,India,A famous Hindu temple located in Dwarka.,Dwarka,"6:00 AM - 1:00 PM, 5:00 PM - 9:30 PM"
Sabarmati Ashram,4.9,1900000,5,3,2,0,Gujarat,India,A historic ashram located in Ahmedabad.,Ahmedabad,8:30 AM - 6:30 PM
Laxmi Vilas Palace,4.8,1700000,5,3,2,0,Gujarat,India,A historic palace located in Vadodara.,Vadodara,9:30 AM - 5:00 PM
Sardar Patel Stadium,4.7,1600000,2,2,4,0,Gujarat,India,A cricket stadium located in Ahmedabad.,Ahmedabad,10:00 AM - 6:00 PM
Kankaria Lake,4.6,1500000,2,5,3,0,Gujarat,India,A man-made lake located in Ahmedabad.,Ahmedabad,9:00 AM - 10:00 PM
"Akshardham Temple, Gandhinagar",4.8,1400000,5,3,2,0,Gujarat,India,A Hindu temple located in Gandhinagar.,Gandhinagar,9:30 AM - 7:30 PM
"Sun Temple, Modhera",4.7,1300000,5,3,2,0,Gujarat,India,A historic Hindu temple located in Modhera.,Modhera,6:00 AM - 6:00 PM
Rani ki Vav,4.9,1200000,5,2,2,0,Gujarat,India,A UNESCO World Heritage site located in Patan.,Patan,7:00 AM - 6:00 PM
Vijay Vilas Palace,4.8,1100000,5,3,2,0,Gujarat,India,A historic palace located in Mandvi.,Mandvi,9:00 AM - 6:00 PM
Saputara,4.7,1000000,2,5,3,0,Gujarat,India,A hill station located in the Dang district.,Saputara,24 hours
Shatrunjaya Hill Temples,4.8,900000,5,3,2,0,Gujarat,India,A group of Jain temples located in Palitana.,Palitana,6:00 AM - 6:00 PM
Mandvi Beach,4.7,800000,2,5,3,5,Gujarat,India,A popular beach located in Mandvi.,Mandvi,24 hours
Palitana,4.8,700000,5,2,2,0,Gujarat,India,A famous Jain pilgrimage site.,Palitana,5:00 AM - 9:30 PM
Velavadar Blackbuck National Park,4.7,600000,3,5,2,0,Gujarat,India,A wildlife sanctuary located in Bhavnagar.,Bhavnagar,6:00 AM - 6:00 PM
Marine National Park,4.8,500000,3,5,3,5,Gujarat,India,A marine park located in the Gulf of Kutch.,Jamnagar,6:00 AM - 6:00 PM
Sidi Saiyyed Mosque,4.6,400000,5,2,2,0,Gujarat,India,A historic mosque located in Ahmedabad.,Ahmedabad,6:00 AM - 8:00 PM
Bhuj,4.7,300000,2,4,2,0,Gujarat,India,A historic city located in the Kutch district.,Bhuj,24 hours
Nal Sarovar Bird Sanctuary,4.8,200000,2,5,2,0,Gujarat,India,A bird sanctuary located in the Ahmedabad district.,Ahmedabad,6:00 AM - 6:00 PM
Baroda Museum and Picture Gallery,4.7,100000,4,2,2,0,Gujarat,India,A museum and art gallery located in Vadodara.,Vadodara,10:30 AM - 5:30 PM
Gandhi Smriti,4.6,90000,5,3,2,0,Gujarat,India,A museum located in Bhavnagar.,Bhavnagar,10:00 AM - 5:00 PM
Hutheesing Jain Temple,4.8,80000,5,2,2,0,Gujarat,India,A historic Jain temple located in Ahmedabad.,Ahmedabad,5:00 AM - 9:00 PM
Champaner-Pavagadh Archaeological Park,4.7,70000,5,5,2,0,Gujarat,India,A UNESCO World Heritage site located in Champaner.,Champaner,8:30 AM - 5:00 PM
Lothal,4.8,60000,5,5,2,0,Gujarat,India,A historic city located in the Bhavnagar district.,Bhavnagar,9:00 AM - 5:00 PM
Gopnath Beach,4.7,50000,2,5,2,5,Gujarat,India,A beach located in the Bhavnagar district.,Bhavnagar,24 hours
Sarkhej Roza,4.6,40000,5,3,2,0,Gujarat,India,A historic mosque located in Ahmedabad.,Ahmedabad,5:00 AM - 9:00 PM
"Kirti Mandir, Porbandar",4.8,30000,5,3,2,0,Gujarat,India,"A memorial located in Porbandar, dedicated to Mahatma Gandhi.",Porbandar,8:30 AM - 5:00 PM
Amber Fort,4.8,2500000,5,2,2,0,Rajasthan,India,"A historic fort located in Amer, near Jaipur.",Amer,8:00 AM - 5:30 PM
"City Palace, Jaipur",4.7,2000000,5,2,2,0,Rajasthan,India,A historic palace complex located in Jaipur.,Jaipur,9:30 AM - 5:00 PM
Hawa Mahal,4.6,2200000,5,2,2,0,Rajasthan,India,"A historic palace located in Jaipur, known for its unique architecture.",Jaipur,9:00 AM - 4:30 PM
"Jantar Mantar, Jaipur",4.8,1800000,5,2,2,0,Rajasthan,India,A historic observatory located in Jaipur.,Jaipur,9:00 AM - 4:30 PM
Mehrangarh Fort,4.7,1600000,5,2,2,0,Rajasthan,India,A historic fort located in Jodhpur.,Jodhpur,9:00 AM - 5:00 PM
Lake Pichola,4.8,1400000,2,5,2,0,Rajasthan,India,A picturesque lake located in Udaipur.,Udaipur,24 hours
"City Palace, Udaipur",4.6,1500000,5,2,2,0,Rajasthan,India,A historic palace complex located in Udaipur.,Udaipur,9:30 AM - 5:30 PM
Jaisalmer Fort,4.8,1300000,5,2,2,0,Rajasthan,India,A historic fort located in Jaisalmer.,Jaisalmer,8:00 AM - 5:00 PM
Ranthambore National Park,4.9,1200000,2,5,2,0,Rajasthan,India,A national park located in Sawai Madhopur.,Sawai Madhopur,6:00 AM - 6:00 PM
Pushkar Lake,4.6,1100000,3,3,2,0,Rajasthan,India,A sacred lake located in Pushkar.,Pushkar,24 hours
Chittorgarh Fort,4.7,1000000,5,2,2,0,Rajasthan,India,A historic fort located in Chittorgarh.,Chittorgarh,9:30 AM - 6:30 PM
Kumbhalgarh Fort,4.8,900000,5,2,2,0,Rajasthan,India,A historic fort located in the Rajsamand district.,Rajsamand,6:00 AM - 6:00 PM
Mount Abu,4.7,800000,2,5,2,0,Rajasthan,India,A popular hill station located in the Aravalli range.,Mount Abu,24 hours
Ajmer Sharif Dargah,4.6,700000,5,2,2,0,Rajasthan,India,A famous dargah located in Ajmer.,Ajmer,4:00 AM - 10:00 PM
Umaid Bhawan Palace,4.7,600000,5,2,2,0,Rajasthan,India,A historic palace located in Jodhpur.,Jodhpur,9:00 AM - 5:00 PM
Saheliyon Ki Bari,4.6,500000,2,2,2,0,Rajasthan,India,A historic garden located in Udaipur.,Udaipur,9:00 AM - 7:00 PM
Jal Mahal,4.8,400000,5,2,2,0,Rajasthan,India,A historic palace located in Jaipur.,Jaipur,9:00 AM - 5:00 PM
Nahargarh Fort,4.7,300000,5,2,2,0,Rajasthan,India,A historic fort located in Jaipur.,Jaipur,10:00 AM - 5:00 PM
Bikaner Fort,4.8,200000,5,2,2,0,Rajasthan,India,A historic fort located in Bikaner.,Bikaner,10:00 AM - 5:00 PM
Mandawa,4.6,150000,4,2,2,0,Rajasthan,India,A historic town known for its havelis.,Mandawa,24 hours
Sariska Tiger Reserve,4.7,100000,3,5,2,0,Rajasthan,India,A wildlife sanctuary located in Alwar.,Alwar,6:00 AM - 6:00 PM
Keoladeo National Park,4.8,500000,2,5,2,0,Rajasthan,India,A national park located in Bharatpur.,Bharatpur,6:00 AM - 6:00 PM
Bagore Ki Haveli,4.7,600000,5,2,2,0,Rajasthan,India,A historic haveli located in Udaipur.,Udaipur,9:30 AM - 5:30 PM
Sheesh Mahal,4.6,700000,5,2,2,0,Rajasthan,India,A historic palace located in Jaipur.,Jaipur,9:00 AM - 5:00 PM
Sikar,4.7,400000,5,2,2,0,Rajasthan,India,A historic city known for its temples.,Sikar,24 hours
Alwar Fort,4.8,500000,5,2,2,0,Rajasthan,India,A historic fort located in Alwar.,Alwar,10:00 AM - 5:00 PM
Junagarh Fort,4.7,300000,5,2,2,0,Rajasthan,India,A historic fort located in Bikaner.,Bikaner,10:00 AM - 5:00 PM
Panna Meena Ka Kund,4.8,200000,5,2,2,0,Rajasthan,India,A historic stepwell located in Jaipur.,Jaipur,9:00 AM - 5:00 PM
Jaigarh Fort,4.7,600000,5,2,2,0,Rajasthan,India,A historic fort located in Jaipur.,Jaipur,9:00 AM - 5:00 PM
Neemrana Fort,4.6,300000,5,2,2,0,Rajasthan,India,A historic fort located in Neemrana.,Neemrana,9:00 AM - 5:00 PM
Victoria Memorial,4.8,4000000,5,2,2,0,West Bengal,India,"A large marble building in Kolkata, dedicated to the memory of Queen Victoria.",Kolkata,10:00 AM - 5:00 PM
Howrah Bridge,4.7,3500000,5,2,2,0,West Bengal,India,A historic bridge over the Hooghly River in Kolkata.,Kolkata,24 hours
Sundarbans,4.8,3000000,2,5,2,0,West Bengal,India,A vast mangrove forest and a UNESCO World Heritage site.,Sundarbans,6:00 AM - 6:00 PM
Dakshineswar Kali Temple,4.7,2500000,5,2,2,0,West Bengal,India,"A famous Hindu temple dedicated to Goddess Kali, located in Kolkata.",Kolkata,5:00 AM - 10:00 PM
Kalighat Kali Temple,4.6,2000000,5,2,2,0,West Bengal,India,"A historic Hindu temple dedicated to Goddess Kali, located in Kolkata.",Kolkata,"5:00 AM - 2:00 PM, 5:00 PM - 10:30 PM"
Darjeeling Himalayan Railway,4.8,1500000,5,4,3,0,West Bengal,India,A UNESCO World Heritage site known for its narrow-gauge railway.,Darjeeling,"8:00 AM - 12:00 PM, 1:30 PM - 5:00 PM"
Indian Museum,4.7,1000000,5,2,2,0,West Bengal,India,"The largest and oldest museum in India, located in Kolkata.",Kolkata,10:00 AM - 5:00 PM
Marble Palace,4.8,900000,5,2,2,0,West Bengal,India,A historic mansion and art gallery located in Kolkata.,Kolkata,10:00 AM - 4:00 PM
Eden Gardens,4.7,800000,2,2,4,0,West Bengal,India,A historic cricket ground located in Kolkata.,Kolkata,24 hours
Belur Math,4.6,700000,5,2,2,0,West Bengal,India,"The headquarters of the Ramakrishna Math and Mission, located in Howrah.",Howrah,"6:00 AM - 12:00 PM, 4:00 PM - 9:00 PM"
Birla Planetarium,4.8,600000,2,2,4,0,West Bengal,India,A large planetarium located in Kolkata.,Kolkata,12:00 PM - 6:30 PM
